gene	14-sample/gBMF_vs_Ctrl/ORIG	14-sample/uBMF_vs_Ctrl/ORIG	14-sample/gBMF_vs_Ctrl/STRICT	14-sample/uBMF_vs_Ctrl/STRICT	14-sample/gBMF_vs_Ctrl/R1	14-sample/uBMF_vs_Ctrl/R1	14-sample/gBMF_vs_Ctrl/R2	14-sample/uBMF_vs_Ctrl/R2	14-sample/gBMF_vs_Ctrl/R3	14-sample/uBMF_vs_Ctrl/R3	17-sample/gBMF_vs_Ctrl/ORIG	17-sample/uBMF_vs_Ctrl/ORIG	17-sample/gBMF_vs_Ctrl/STRICT	17-sample/uBMF_vs_Ctrl/STRICT	17-sample/gBMF_vs_Ctrl/R1	17-sample/uBMF_vs_Ctrl/R1	17-sample/gBMF_vs_Ctrl/R2	17-sample/uBMF_vs_Ctrl/R2	17-sample/gBMF_vs_Ctrl/R3	17-sample/uBMF_vs_Ctrl/R3
HCG11	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
HCP5	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
SNHG32	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PSMB8-AS1	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
FAM30A	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
MIR22HG	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
ATP1A1-AS1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
USP3-AS1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
TAGAP-AS1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
LINC01036	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
MALAT1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
