cohort	contrast	strategy	n_lncRNA_DE	n_lncRNA_manuscript	delta_vs_manuscript
14-sample	gBMF_vs_Ctrl	ORIG	1165	1165	0
14-sample	uBMF_vs_Ctrl	ORIG	1015	1015	0
14-sample	gBMF_vs_Ctrl	STRICT	29	1165	-1136
14-sample	uBMF_vs_Ctrl	STRICT	13	1015	-1002
14-sample	gBMF_vs_Ctrl	R1	939	1165	-226
14-sample	uBMF_vs_Ctrl	R1	797	1015	-218
14-sample	gBMF_vs_Ctrl	R2	921	1165	-244
14-sample	uBMF_vs_Ctrl	R2	787	1015	-228
14-sample	gBMF_vs_Ctrl	R3	1191	1165	26
14-sample	uBMF_vs_Ctrl	R3	960	1015	-55
17-sample	gBMF_vs_Ctrl	ORIG	1171	1171	0
17-sample	uBMF_vs_Ctrl	ORIG	1034	1034	0
17-sample	gBMF_vs_Ctrl	STRICT	26	1171	-1145
17-sample	uBMF_vs_Ctrl	STRICT	12	1034	-1022
17-sample	gBMF_vs_Ctrl	R1	973	1171	-198
17-sample	uBMF_vs_Ctrl	R1	851	1034	-183
17-sample	gBMF_vs_Ctrl	R2	960	1171	-211
17-sample	uBMF_vs_Ctrl	R2	847	1034	-187
17-sample	gBMF_vs_Ctrl	R3	1200	1171	29
17-sample	uBMF_vs_Ctrl	R3	1050	1034	16
