cohort	strategy	contrast	genes_kept	n_lncRNA_DE	n_up	n_down
14-sample	ORIG	gBMF_vs_Ctrl	8325	29	24	5
14-sample	ORIG	uBMF_vs_Ctrl	8325	13	12	1
14-sample	ORIG	gBMF_vs_uBMF	8325	0	0	0
14-sample	R1	gBMF_vs_Ctrl	19246	939	885	54
14-sample	R1	uBMF_vs_Ctrl	19246	797	791	6
14-sample	R1	gBMF_vs_uBMF	19246	3	0	3
14-sample	R2	gBMF_vs_Ctrl	18637	921	867	54
14-sample	R2	uBMF_vs_Ctrl	18637	787	781	6
14-sample	R2	gBMF_vs_uBMF	18637	3	0	3
14-sample	R3	gBMF_vs_Ctrl	62652	1191	1134	57
14-sample	R3	uBMF_vs_Ctrl	62652	960	953	7
14-sample	R3	gBMF_vs_uBMF	62652	4	0	4
17-sample	ORIG	gBMF_vs_Ctrl	8478	26	21	5
17-sample	ORIG	uBMF_vs_Ctrl	8478	12	11	1
17-sample	ORIG	gBMF_vs_uBMF	8478	0	0	0
17-sample	R1	gBMF_vs_Ctrl	18805	973	934	39
17-sample	R1	uBMF_vs_Ctrl	18805	851	850	1
17-sample	R1	gBMF_vs_uBMF	18805	0	0	0
17-sample	R2	gBMF_vs_Ctrl	18997	960	919	41
17-sample	R2	uBMF_vs_Ctrl	18997	847	845	2
17-sample	R2	gBMF_vs_uBMF	18997	0	0	0
17-sample	R3	gBMF_vs_Ctrl	62652	1200	1144	56
17-sample	R3	uBMF_vs_Ctrl	62652	1050	1047	3
17-sample	R3	gBMF_vs_uBMF	62652	6	0	6
