gene	contrast	n_cohorts
ATP1A1-AS1	gBMF_vs_Ctrl	2
ATP1A1-AS1	uBMF_vs_Ctrl	2
ENSG00000262265	gBMF_vs_Ctrl	2
ENSG00000263826	gBMF_vs_Ctrl	2
ENSG00000263826	uBMF_vs_Ctrl	2
ENSG00000286342	gBMF_vs_Ctrl	2
ENSG00000288771	gBMF_vs_Ctrl	2
ENSG00000288771	uBMF_vs_Ctrl	2
ENSG00000291107	gBMF_vs_Ctrl	2
ENSG00000291107	uBMF_vs_Ctrl	2
ENSG00000291143	gBMF_vs_Ctrl	2
KCNQ1OT1	gBMF_vs_Ctrl	2
LINC01036	gBMF_vs_Ctrl	2
LINC01036	uBMF_vs_Ctrl	2
LINC02446	gBMF_vs_Ctrl	2
MALAT1	gBMF_vs_Ctrl	2
MBNL1-AS1	gBMF_vs_Ctrl	2
PLCG1-AS1	gBMF_vs_Ctrl	2
PLCG1-AS1	uBMF_vs_Ctrl	2
PPM1F-AS1	gBMF_vs_Ctrl	2
PPM1F-AS1	uBMF_vs_Ctrl	2
PRKCQ-AS1	gBMF_vs_Ctrl	2
RTCA-AS1	gBMF_vs_Ctrl	2
SNHG16	gBMF_vs_Ctrl	2
SNHG17	gBMF_vs_Ctrl	2
SNHG6	gBMF_vs_Ctrl	2
SNHG6	uBMF_vs_Ctrl	2
TAGAP-AS1	gBMF_vs_Ctrl	2
TAGAP-AS1	uBMF_vs_Ctrl	2
USP3-AS1	gBMF_vs_Ctrl	2
USP3-AS1	uBMF_vs_Ctrl	2
